dur,full_data,id,net_family,net_type,normalized,optimizer,pretrained,train_acc,train_f1,train_loss,train_precision,train_recall,train_roc_auc,valid_acc,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc,x
394.78459572792053,full data,HCDEX-71,DenseNet,DenseNet121,not normalized,Adam,not pretrained,0.974764231337348,0.9687478013705376,0.07138713293561454,0.9722363441224652,0.9652842040324164,0.9963588416185186,0.9739120554482446,0.9679078608967908,NA,0.9630082883684709,0.9728575442540041,0.9737427744162044,30.0
126.25026416778564,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.8268151346437905,0.7812728707756332,0.39910459153802,0.8000675993416412,0.7633409046297075,0.8987018777386354,0.6889217134416543,0.3935138008949537,NA,0.929857621440536,0.24956448440573195,0.61839155162675,1.0
125.9096884727478,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.8757641177138962,0.8438423856381838,0.3008059182731608,0.8598434134699342,0.8284260116093211,0.9419043667793314,0.7591410067037837,0.6132175309272707,NA,0.8744796003330558,0.47215509974712,0.7130710637995424,2.0
160.83473730087283,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.8982842858766049,0.872474999287729,0.2540619158349299,0.8866722645278976,0.8587252180252938,0.9581991661077516,0.7955005113055335,0.7458555734417803,NA,0.7496877483819689,0.7420623770722113,0.7869220698791046,3.0
159.34691143035892,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9141802067946824,0.8926032305767262,0.2199348038684887,0.9053999480774224,0.8801632034996214,0.9681945716500012,0.7928644472219066,0.7866388895391025,NA,0.6741153815293268,0.9442540039336892,0.8171670630122472,4.0
164.30226182937622,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9226678786501534,0.9032950169794968,0.20091350259204951,0.9155625324039404,0.8913518970303693,0.973233644455787,0.859970457902511,0.8456876690373636,NA,0.762750146813028,0.9488620398988481,0.8742402530665547,5.0
154.1210029125214,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9286444722190659,0.9108790054778192,0.18629660930109085,0.922080160896423,0.8999467205069964,0.9769076997962814,0.7474377911600955,0.6330317638512843,NA,0.7674325514370347,0.5386906434391683,0.7139275422461007,6.0
152.3660924434662,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9342006590160208,0.9177695103941838,0.1737943343087606,0.9296234502200617,0.9062140713945206,0.9796536799100366,0.8617884331325986,0.8189880952380952,NA,0.8705472951597596,0.7731947176173082,0.8475664545736292,7.0
148.79439878463742,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.938359277354846,0.923093280408279,0.1629377595430991,0.9334413257260816,0.912972154454446,0.9820993730014952,0.8564708555845927,0.7908747765048673,NA,0.9626017570726204,0.6711435796572071,0.8267202064634757,8.0
163.80486607551575,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.941733893875696,0.9273870378499314,0.15551721891541734,0.9366847826086956,0.9182720619163792,0.9835142855371776,0.9205317577548006,0.8966149297856615,NA,0.9459762944479102,0.852149480191065,0.9095543280390654,9.0
148.727055311203,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9460174980115896,0.9326987095037752,0.14659912221005875,0.9424310088171304,0.92316536272118,0.9853280370995028,0.9013521190773776,0.888757912000615,NA,0.8168927831166384,0.9744872155099747,0.913092520383755,10.0
159.41837215423584,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9477843426883308,0.9349829870616784,0.1413951577625279,0.9435330734855301,0.9265864670087772,0.9863598713869912,0.9423247358254744,0.9300209551119444,NA,0.9129540410328588,0.9477381286878336,0.9431937495785602,11.0
152.97064876556396,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9497727530962392,0.9374871842010366,0.1356731250453789,0.9456244205120892,0.9294887972855501,0.9873843436138556,0.9489376207249176,0.9347276688453159,NA,0.967468430547204,0.9041303737004776,0.9417446984870188,12.0
148.55022168159485,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9517441199863652,0.9399445685681156,0.1302405099721947,0.9480417605613716,0.9319845209051906,0.9883891613371144,0.9392114532439496,0.9236652113118168,NA,0.9383116883116884,0.9094689519527958,0.934436879639122,13.0
147.20463085174558,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9542040677195772,0.9429911102624488,0.12451592326509643,0.9513677811550152,0.9347606629090603,0.9893476243731908,0.9439154641518008,0.9278868630201028,NA,0.9664617444762309,0.8922731104242765,0.935625299966049,14.0
146.6394407749176,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9559538688785364,0.9452668883382398,0.12041354566209765,0.951940166929716,0.9386865202882702,0.9899996775341248,0.9317804794909671,0.9193097516396088,NA,0.8810860940800659,0.9610002809778028,0.9364711439227053,15.0
152.73709964752197,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9574821043063289,0.9471573417685768,0.11626332212430406,0.9540010809888204,0.94041109335128,0.9906608791513332,0.946846949210317,0.935513219927766,NA,0.91827235332323,0.9534138803034559,0.9479011408384888,16.0
163.5024559497833,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9594193841608908,0.9495803657770469,0.11216907717959286,0.9561472089155496,0.9431031098398812,0.9912164457881351,0.9628451312350871,0.9540381750203806,NA,0.9544943188210148,0.9535824669851082,0.9613581926684412,17.0
161.25558352470395,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9602090671514599,0.9505806979664988,0.10875218552329326,0.9567780239759104,0.9444631390033932,0.9917757710940568,0.9620497670719236,0.9527019372380198,NA,0.9603722948666704,0.9451531329025008,0.9593373447801324,18.0
160.77393460273746,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9614475627769572,0.9521242821464352,0.10552208563330877,0.9582220959954558,0.9461035865511342,0.9922262314576772,0.9100329508010452,0.8824071048801496,NA,0.9358618951612904,0.8347288564203428,0.8979443595340936,19.0
161.447350025177,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.962589478468356,0.9535413682896028,0.10317411799821484,0.9596688299700356,0.9474916575530692,0.9925668255091192,0.9584365413021247,0.9494038562615842,NA,0.9349460608041844,0.9643158190502952,0.959380343710573,20.0
154.5480673313141,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9641347574139304,0.9554917899872389,0.10086345750728043,0.9609455875888084,0.9500995485264014,0.9928869541180996,0.9473696170889672,0.9371130661453242,NA,0.9066358430095098,0.969710592863164,0.9509560213457368,21.0
154.81047773361206,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9642654243835928,0.9556630106859896,0.09816608563016427,0.9609191166047684,0.9504640924258996,0.9932781517986784,0.9636859447790024,0.9557757236951347,NA,0.9415998691313594,0.9703849395897725,0.9647613366396021,22.0
153.82295870780942,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9654300647653676,0.9571089228947424,0.09559547270330404,0.962352407546528,0.9519222680238916,0.9936664496915424,0.9674127940006816,0.9598364328926732,NA,0.9567815065051092,0.9629109300365272,0.9666901082841928,23.0
155.299409866333,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9661913418929668,0.9580865314861641,0.09407115463349863,0.962567753074539,0.9536468410869016,0.9938148403199536,0.9637313941597546,0.9558066123940856,NA,0.9421365795076152,0.9698791795448158,0.9647183001882801,24.0
152.85003113746643,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.967020793091694,0.9591050306800329,0.09271460181888824,0.9638240333017118,0.9544320125627436,0.9939882152439792,0.9675945915236904,0.9600515463917524,NA,0.9572090944639964,0.9629109300365272,0.9668427217904879,25.0
155.61443996429443,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9671230541983864,0.9591921642185728,0.09059728534299397,0.9648597653534594,0.9535907574100558,0.9942438854965232,0.9678445631178276,0.9600496908438972,NA,0.9647072174307764,0.9554369204832818,0.9658527601271808,26.0
154.30669879913333,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9680774911941824,0.9604226096143688,0.08871409416650794,0.9649696403549743,0.9559182299991588,0.994490056428322,0.9704579025110784,0.963493400730132,NA,0.962952568060623,0.9640348412475416,0.9694268063544078,27.0
155.41447210311892,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9688614930121576,0.9614244994193616,0.08701874692915326,0.9652219380184559,0.9576568239813802,0.9946512946556936,0.9677991137370752,0.9607555321682776,NA,0.9471930974224552,0.9747119977521777,0.9689088413026437,28.0
151.60278153419497,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9690944210885126,0.961704164672092,0.08564145146120869,0.965728827937226,0.9577129076582259,0.9948879850152309,0.9705942506533348,0.963702664796634,NA,0.9620834500140016,0.9653273391402081,0.9697487515998636,29.0
161.09444808959958,full data,HCDEX-70,ResNet,ResNet18_96,not normalized,Adam,not pretrained,0.9695318713782524,0.9622528628842107,0.08537683007446505,0.9661084022330576,0.9584279745380108,0.9949114184764938,0.9710487444608568,0.9639990957386684,NA,0.9695333371227192,0.9585276763135712,0.969038733235,30.0
295.08394694328314,full data,HCDEX-69,DenseNet,DenseNet121,not normalized,Adam,not pretrained,0.8466481081695262,0.8086783332270159,0.3643577957976855,0.8177022862466853,0.7998513782563584,0.9165748291637278,0.6971707760481763,0.4256529609516421,NA,0.9132605881265028,0.27749367799943797,0.6297998721931567,1.0
